Прогноз погоды в Нижнем Новгороде:
№	Дата/время		Температура	Осадки (мм)
1	2025-06-02 00:00	12,6°C		0,00
2	2025-06-02 01:00	12,1°C		0,00
3	2025-06-02 02:00	11,3°C		0,00
4	2025-06-02 03:00	10,7°C		0,00
5	2025-06-02 04:00	9,8°C		0,00
6	2025-06-02 05:00	9,7°C		0,00
7	2025-06-02 06:00	10,3°C		0,00
8	2025-06-02 07:00	11,3°C		0,00
9	2025-06-02 08:00	12,9°C		0,00
10	2025-06-02 09:00	14,1°C		0,00
11	2025-06-02 10:00	14,7°C		0,00
12	2025-06-02 11:00	14,9°C		0,00
13	2025-06-02 12:00	14,7°C		0,00
14	2025-06-02 13:00	14,7°C		0,00
15	2025-06-02 14:00	15,5°C		0,00
16	2025-06-02 15:00	16,0°C		0,00
17	2025-06-02 16:00	16,7°C		0,00
18	2025-06-02 17:00	16,8°C		0,00
19	2025-06-02 18:00	16,6°C		0,00
20	2025-06-02 19:00	15,8°C		0,00
21	2025-06-02 20:00	14,2°C		0,00
22	2025-06-02 21:00	12,4°C		0,00
23	2025-06-02 22:00	11,5°C		0,00
24	2025-06-02 23:00	10,9°C		0,00
